DEPTH,GAUGE_TEMP,PAFTER,PBEFORE,PFORM,INTERP
5137,122.1,3614.8999,3617.3999,3255,overpressured
5163,136.1,,3624.6001,,overpressured
5183,125.1,3644.5,3646,3275,overpressured
5212,128.7,3662,3667.3999,3226.6001,imperm
5212,136.6,3658.8999,3659,3218.6001,imperm
5219,126.7,3668.7,3669.5,3217.3,imperm
5238,,,3682.3999,,imperm
5238,136.6,,3672.7,,imperm
5246,127,3688.2,3687.7,3219,gas
5270,127.3,3704.6001,3704.3999,3226.8999,gas
5270,131.3,3702.3999,3702.3,3228,gas
5317,134,3735.1001,3734.5,3246.5,oil
5354,134.6,3760.5,3760,3264.1001,oil
5397,135.3,3790.5,3790.2,3288.1001,oil
5437,135.8,3817.5,3817.8,3309.6001,oil
5476,136.5,3843.2,3843.5,3330.5,oil
5525,137.7,3876.7,3876.8,3353.8,water
5535,138,3883.3,3883.3,3361,water
5545,138.2,3889.8999,3889.8999,3366.3,water
5556,138.4,3897,3897.2,3377.7,water
